n_recs,evals_Linear Regression_rmse,evals_Linear Regression_mae,evals_Linear Regression_r2,evals_Decision Tree_rmse,evals_Decision Tree_mae,evals_Decision Tree_r2,evals_Random Forest_rmse,evals_Random Forest_mae,evals_Random Forest_r2,evals_Gradient Boosted Tree_rmse,evals_Gradient Boosted Tree_mae,evals_Gradient Boosted Tree_r2
300,0.2414,0.0389,-22.595,0.0223,0.0108,0.7992,0.0222,0.0162,0.8007,0.0211,0.0091,0.8198
310,0.2386,0.0386,-22.0091,0.0205,0.0104,0.8305,0.0237,0.0172,0.7733,0.0181,0.0083,0.867
320,0.2335,0.0384,-21.0627,0.0208,0.0102,0.8254,0.0229,0.0156,0.7878,0.0189,0.0078,0.855
330,0.2278,0.0381,-19.9717,0.0199,0.0102,0.8393,0.0224,0.016,0.797,0.0181,0.0079,0.8678
340,0.2172,0.0376,-18.0589,0.0196,0.0122,0.8444,0.0218,0.0155,0.8082,0.0147,0.0069,0.9124
350,0.2253,0.0379,-19.5015,0.0177,0.01,0.8731,0.0219,0.0159,0.8069,0.0145,0.0077,0.9153
360,0.2332,0.0388,-21.0002,0.0193,0.0097,0.8486,0.0232,0.0172,0.782,0.0166,0.0072,0.8888
370,0.2252,0.0383,-19.5078,0.0221,0.0104,0.8027,0.0216,0.0158,0.8107,0.0201,0.0079,0.8374
380,0.2299,0.0384,-20.3519,0.0214,0.0098,0.8147,0.0214,0.0156,0.8157,0.0203,0.0078,0.8332
390,0.2371,0.0385,-21.6607,0.0173,0.0089,0.8792,0.0233,0.0168,0.7814,0.0164,0.0074,0.891
400,0.2336,0.0384,-20.9902,0.019,0.01,0.8539,0.021,0.0145,0.8218,0.0162,0.0079,0.8942
410,0.2263,0.0382,-19.6185,0.0195,0.01,0.8476,0.0213,0.0149,0.8167,0.0175,0.0082,0.8764
420,0.2389,0.0385,-21.9626,0.0192,0.0099,0.8521,0.0225,0.0158,0.7957,0.0176,0.0083,0.8751
430,0.2335,0.0382,-20.9573,0.0187,0.0093,0.8597,0.0211,0.0147,0.8208,0.0162,0.0073,0.8946
440,0.221,0.0378,-18.7262,0.017,0.009,0.8827,0.021,0.0152,0.8223,0.0136,0.0064,0.9251
